FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE
20161201,LAX,LAS,1246,6,1404,7,47,236
20161201,EWR,DFW,0924,-11,1239,-17,212,1372
20161201,DSM,DFW,0551,-2,0748,-12,97,624
20161201,LGA,ORD,0754,-6,0916,-29,117,733
20161201,LAS,LAX,1019,-5,1139,-12,40,236
20161201,LGA,DFW,1805,-4,2107,-13,205,1389
20161201,LGA,DFW,1229,-6,1531,-21,211,1389
20161201,DFW,ORD,2030,-5,2238,-15,104,802
20161201,SFO,LAX,1819,-11,1943,-27,49,337
20161201,LGA,DFW,1952,-8,2247,-30,204,1389
20161201,ORD,SFO,0712,-3,0954,-3,261,1846
20161201,SFO,ORD,1049,-6,1703,-8,220,1846
20161201,MIA,LAX,2137,-2,0028,-17,315,2342
20161201,LAX,LAS,1400,0,1522,4,49,236
20161201,DFW,ORD,1644,-1,1927,20,108,802
20161201,DCA,MIA,1555,-4,1917,32,153,919
20161201,MIA,DCA,1219,-9,1450,-9,111,919
20161201,SEA,DFW,0555,-5,1140,-16,195,1660
20161201,DFW,EWR,1344,59,1823,83,161,1372
20161201,PHL,DFW,2036,6,2312,-9,191,1303
20161201,ORD,SNA,1003,-2,1225,-4,238,1726
20161201,AUS,MIA,0625,-5,1018,9,129,1103
20161201,DFW,MKE,2028,-7,2242,-11,110,853
20161201,MCO,ORD,0655,-10,0848,-18,143,1005
20161201,CLT,EWR,1435,5,1630,4,77,529
20161201,EWR,CLT,1711,0,1914,0,97,529
20161201,DFW,FLL,1835,5,2212,-1,134,1119
20161201,ORD,SEA,1021,-4,1244,-15,234,1721
20161201,BOS,ORD,1157,-3,1341,-12,138,867
20161201,ORD,BOS,0657,-8,1005,-9,112,867
20161201,DFW,ONT,0852,-3,1009,-1,172,1188
20161201,DTW,DFW,0556,-4,0758,-13,147,986
20161201,DEN,DFW,1433,-2,1730,-11,86,641
20161201,DFW,DEN,1237,-3,1337,-8,98,641
20161201,LAX,DFW,1131,-7,1623,-22,141,1235
20161201,DTW,ORD,1211,-7,1256,16,55,235
20161201,ORD,DTW,0850,-5,1112,0,54,235
20161201,EWR,ORD,1033,88,1206,83,119,719
20161201,BOS,PHL,1950,-9,2123,-9,65,280
20161201,ATL,LAX,2106,156,2300,136,267,1946
20161201,LAX,ATL,1328,183,2022,161,210,1946
20161201,DFW,SDF,1225,-5,1521,-7,97,733
20161201,SDF,DFW,0820,972,0943,970,121,733
20161201,DFW,PIT,0707,-8,1036,-11,125,1067
20161201,PIT,DFW,1124,-5,1324,-21,167,1067
20161201,DCA,LAX,0726,-4,1046,4,352,2311
20161201,CLT,PHL,1615,1,1806,12,66,449
20161201,DCA,PHX,1158,298,1514,290,292,1979
20161201,PHX,DFW,1255,70,1553,45,102,868
20161201,LAX,PHX,1249,-1,1517,-3,55,370
20161201,PHX,MCO,1621,-5,2207,-21,201,1849
20161201,DFW,PHL,0554,-6,0944,-18,148,1303
20161201,DCA,PHX,1700,0,2006,-7,283,1979
20161201,PHX,SAN,2128,3,2133,-7,49,304
20161201,SAN,CLT,2239,-1,0533,-27,218,2077
20161201,SMF,PHX,1930,1,2215,3,89,647
20161201,CLT,DFW,1949,-6,2139,-15,141,936
20161201,PHX,MCO,0954,-4,1602,-10,200,1849
20161201,SFO,PHX,0554,-6,0849,-8,87,651
20161201,CMH,PHX,1105,-5,1320,-18,232,1670
20161201,PHX,SJC,1429,-6,1516,-16,95,621
20161201,ATL,MIA,1658,-2,1923,22,96,594
20161201,CLE,CLT,1200,-7,1335,-12,74,430
20161201,CLT,ATL,1437,-8,1543,-20,45,226
20161201,MIA,MSP,2016,14,2303,7,194,1501
20161201,ONT,PHX,1243,-2,1455,-2,54,325
20161201,PHX,TPA,1607,-7,2140,-19,198,1788
20161201,LAX,STL,1000,-5,1519,-29,178,1592
20161201,DFW,DTW,1248,-2,1617,-6,121,986
20161201,EWR,CLT,1127,-3,1339,2,105,529
20161201,MIA,RDU,0928,-7,1124,-17,92,700
20161201,RDU,MIA,1231,1,1445,8,111,700
20161201,LAX,MIA,1131,11,1924,5,254,2342
20161201,DFW,SAT,2037,-8,2147,-8,42,247
20161201,MSP,ORD,0559,-1,0729,-17,61,334
20161201,ORD,RSW,0849,-1,1242,1,155,1120
20161201,DFW,RIC,1845,-5,2231,0,137,1158
20161201,DEN,ORD,1417,-4,1735,-10,115,888
20161201,ORD,DEN,1157,-3,1333,-8,130,888
20161201,ORD,FLL,1838,8,2237,1,158,1182
20161201,BOS,MIA,0742,-3,1139,12,197,1258
20161201,PHX,SNA,2055,-10,2058,-28,51,338
20161201,ORD,RSW,1241,21,1642,30,151,1120
20161201,CLT,MIA,0002,92,0158,80,96,650
20161201,ORD,CLT,1849,24,2157,35,84,599
20161201,DFW,SNA,0932,-8,1044,-12,174,1205
20161201,SNA,DFW,1245,-5,1739,-6,141,1205
20161201,ORD,RSW,1456,1,1844,-1,145,1120
20161201,RSW,DFW,1921,-9,2124,-4,165,1017
20161201,LAS,PHX,1013,-2,1225,-4,46,255
20161201,PHX,EWR,1328,-7,2007,-4,247,2133
20161201,LGA,DFW,0555,-5,0909,-4,219,1389
20161201,ABQ,DFW,0758,-2,1031,-16,70,569
20161201,DFW,JFK,1159,-1,1604,-20,170,1391
20161201,MIA,ORD,1718,114,1917,92,158,1197
20161201,DFW,OMA,1202,-13,1344,-15,80,583
20161201,OMA,DFW,1434,-6,1618,-22,90,583
20161201,ORD,SJC,0951,1,1209,-16,245,1829
20161201,SJC,ORD,1301,-9,1905,-19,220,1829
20161201,BOS,DFW,1841,54,2207,47,233,1562
20161201,ORF,DFW,0658,-8,0942,-8,199,1212
20161201,ABQ,DFW,1646,1,1927,-3,71,569
20161201,DFW,ABQ,1520,6,1619,14,95,569
20161201,ORD,STL,0720,-5,0824,-12,47,258
20161201,STL,ORD,0930,-5,1042,-11,50,258
20161201,LGA,MIA,0951,0,1323,12,173,1096
20161201,DFW,LGA,0709,-4,1114,-15,156,1389
20161201,SAT,DFW,0513,-2,0612,-7,40,247
20161201,JFK,BOS,2125,-5,2246,-1,39,187
20161201,BWI,DFW,1810,-5,2032,-18,178,1217
20161201,LAS,ORD,1004,-6,1524,-28,181,1514
20161201,TPA,DFW,1859,-11,2052,-5,146,929
20161201,DFW,ORD,0517,2,0726,-7,109,802
20161201,SMF,DFW,0802,2,1310,-10,160,1431
20161201,DFW,LGA,1202,-3,1600,-18,162,1389
20161201,FAT,DFW,0558,-2,1100,-19,151,1313
20161201,DCA,ORD,1453,8,1553,-6,99,612
20161201,MIA,DCA,1123,1,1334,-19,109,919
20161201,ORD,BOS,1640,-4,1934,-20,100,867
20161201,DFW,MSP,1831,-4,2045,-10,110,852
20161201,TUS,DFW,1355,-10,1659,-18,101,813
20161201,DFW,RDU,1831,6,2154,-1,125,1061
20161201,DFW,SMF,1103,-2,1251,-6,202,1431
20161201,SMF,DFW,1342,-6,1912,3,163,1431
20161201,DFW,MSP,1016,-4,1233,-6,114,852
20161201,MSP,DFW,1314,-5,1544,-21,121,852
20161201,BOS,DFW,1257,-2,1610,-22,232,1562
20161201,DFW,BOS,0715,-5,1130,-17,171,1562
20161201,DFW,MCO,1425,-5,1742,-19,123,985
20161201,MCO,ORD,1856,-3,2040,-23,137,1005
20161201,DFW,SAT,0844,-1,0953,-2,47,247
20161201,SAT,DFW,1041,-4,1144,-10,42,247
20161201,RDU,DFW,1536,-6,1757,-1,167,1061
20161201,DFW,ORD,0858,-7,1116,-9,112,802
20161201,ORD,DFW,0507,-8,0730,-21,122,802
20161201,RNO,DFW,1127,-5,1624,-16,154,1345
20161201,SLC,DFW,0554,-6,0913,-39,120,989
20161201,DFW,SEA,1710,-5,1924,-18,224,1660
20161201,AUS,DFW,1824,-9,1929,-8,40,190
20161201,DFW,AUS,1628,-7,1720,-17,36,190
20161201,SJU,MIA,0651,-9,0852,6,142,1045
20161201,JFK,DFW,1452,-3,1755,-11,211,1391
20161201,MCI,DFW,0754,-6,1004,15,76,460
20161201,SEA,ORD,1433,-2,2032,-2,210,1721
20161201,LGA,MIA,1704,-9,2035,-6,163,1096
20161201,MIA,LGA,1953,27,2229,9,136,1096
20161201,STL,MIA,0615,-5,1021,13,138,1068
20161201,DFW,SJC,0918,13,1101,5,205,1438
20161201,SJC,DFW,1151,-4,1713,-7,176,1438
20161201,CLT,ORD,1625,0,1726,-15,89,599
20161201,EWR,CLT,1302,-3,1500,-7,92,529
20161201,ORD,TUL,1848,-2,2043,-6,90,585
20161201,DFW,DSM,2027,-8,2226,2,87,624
20161201,MSP,LAX,0557,-13,0810,-35,210,1535
20161201,LAX,MSP,1805,-10,2352,-6,181,1535
20161201,DFW,DAY,2025,-10,2327,-19,105,861
20161201,DFW,DEN,0654,-6,0750,-18,94,641
20161201,ORD,PHL,0654,-6,0934,-25,85,678
20161201,PHL,ORD,1055,-5,1212,-12,115,678
20161201,DFW,SLC,1709,4,1844,-12,139,989
20161201,BNA,DFW,1324,-1,1523,-5,99,631
20161201,DFW,BNA,1055,-5,1230,-15,77,631
20161201,BDL,LAX,0649,-1,1012,-12,350,2527
20161201,MIA,IAD,2007,-5,2220,-27,111,921
20161201,DFW,TPA,1501,1,1808,-7,113,929
20161201,TUL,DFW,1431,-3,1548,-2,43,237
20161201,MIA,STX,1241,19,1623,17,143,1139
20161201,STX,MIA,1727,23,1926,11,149,1139
20161201,MIA,DFW,2136,-5,2340,-19,159,1121
20161201,DTW,ORD,0821,-13,0916,17,50,235
20161201,SAN,ORD,1454,-6,2037,-19,197,1723
20161201,LAX,MIA,0621,1,1411,-6,249,2342
20161201,DFW,SNA,0719,-6,0836,-9,174,1205
20161201,SNA,DFW,1046,-4,1530,-13,144,1205
20161201,SJU,MIA,1515,-16,1658,-33,140,1045
20161201,DFW,MSY,1455,-5,1617,-4,56,447
20161201,MSY,DFW,1736,11,1936,27,82,447
20161201,EWR,MIA,0556,-4,0918,14,172,1085
20161201,DFW,FLL,0708,-2,1047,-6,138,1119
20161201,FLL,DFW,1139,-1,1341,-14,161,1119
20161201,LAX,ORD,1311,-4,1914,-11,210,1744
20161201,DFW,FAT,1648,-3,1811,-14,184,1313
20161201,LGA,MIA,1225,-5,1542,-11,171,1096
20161201,MIA,BOS,2137,-6,0027,-32,150,1258
20161201,TUL,DFW,0818,-2,0955,17,44,237
20161201,ORD,STL,1958,-7,2101,-14,42,258
20161201,ORD,SMF,1725,-5,1941,-28,240,1781
20161201,ORD,MIA,0706,-1,1110,-2,159,1197
20161201,SJC,DFW,0611,-3,1139,-6,175,1438
20161201,PDX,PHX,1810,-5,2135,-13,125,1009
20161201,PHX,JFK,2335,36,0553,15,241,2153
20161201,ORD,STL,1844,-1,1945,-13,41,258
20161201,ORD,EWR,0655,-10,0946,-18,92,719
20161201,TUL,ORD,0854,4,1049,4,81,585
20161201,MIA,EWR,2152,-3,0047,-11,144,1085
20161201,SJU,ORD,1559,-5,1904,-16,279,2072
20161201,MSP,ORD,0921,1,1044,-16,57,334
20161201,ORD,MSP,0712,2,0836,2,63,334
20161201,MIA,JFK,2150,-6,0050,-5,142,1089
20161201,ORD,MIA,1516,11,1915,6,159,1197
20161201,DFW,OKC,2103,18,2150,7,32,175
20161201,MSP,ORD,1426,3,1553,-4,56,334
